dataset,subject,uid,question,option_a,option_b,option_c,option_d,answer,text_gt
MedMCQA,general,medmcqa::validation::521,"A 32 weeks pregnant female presented with labor pains and minimal vaginal discharge, on analysis of the cervicovaginal discharge showed presence of fetal fibronectin. What is the probable diagnosis?",Preterm labour,IUGR,IUD,Cervical infection,A,"A 32 weeks pregnant female presented with labor pains and minimal vaginal discharge, on analysis of the cervicovaginal discharge showed presence of fetal fibronectin. What is the probable diagnosis?"
MedMCQA,general,medmcqa::validation::522,"A65-year-old male adult presents with chronic sinusitis, nasopharyngeal ulcers, cavitatory lung nodules and renal failure. What will be the appropriate next diagnostic step?",Lung biopsy,Sputum AFB and PCR for TB,ANCA and evaluation for vasculitis,ESR,C,"A65-year-old male adult presents with chronic sinusitis, nasopharyngeal ulcers, cavitatory lung nodules and renal failure. What will be the appropriate next diagnostic step?"
MedMCQA,general,medmcqa::validation::523,All of the following are true about COPD except:,Decreased FEV1,Decreased MEFR,Increased RV,Decreased diffusion capacity,D,All of the following are true about COPD except:
MedMCQA,general,medmcqa::validation::524,Bias that arises from evaluating data on patients and hospital records only such that probability of exposure to a particular factor is increased is known as:,Berkesonian bias,Confound bias,Memory or recall bias,Selection bias,A,Bias that arises from evaluating data on patients and hospital records only such that probability of exposure to a particular factor is increased is known as:
MedMCQA,general,medmcqa::validation::525,A midwife at a PI-IC is monitoring pregnancy and maintaining the paograph of pregnancy progression. At how much cervical dilation should the paograph plotting be staed?,4 cm,5 cm,6 cm,8 cm,A,A midwife at a PI-IC is monitoring pregnancy and maintaining the paograph of pregnancy progression. At how much cervical dilation should the paograph plotting be staed?
MedMCQA,general,medmcqa::validation::526,Geniculate neuralgia is caused in the nerve,VII,IX,X,II,A,Geniculate neuralgia is caused in the nerve
MedMCQA,general,medmcqa::validation::527,Empty Thecal sac sign in:,Arachnoiditis,Tethered Cord syndrome,Veebral osteomyelitis,Discitis,A,Empty Thecal sac sign in:
MedMCQA,general,medmcqa::validation::528,An absolute indication for LSCS in case of a Heart disease is:,Co-arctation of Aorta,Eisenmenger syndrome,Ebsteins anomaly,Pulmonary stenosis,A,An absolute indication for LSCS in case of a Heart disease is:
MedMCQA,general,medmcqa::validation::529,Which is not true about vibrio cholera,It is non-halophilic,Grows on simple media,Man is the only natural host,Cannot survive in extracellular environment,D,Which is not true about vibrio cholera
MedMCQA,general,medmcqa::validation::530,Gene commonly indicated in congenital cataract:,PAX-6,CRYGS-3,LMX- IB,PITX-3,B,Gene commonly indicated in congenital cataract:
MedMCQA,general,medmcqa::validation::531,"A case of jaundice with 50% direct bilirubin, other LFTs normal. Diagnosis is –",Rotor syndrome,Gilbert syndrome,Glucuronyl transferase deficiency,Primary biliary cirrhosis,A,"A case of jaundice with 50% direct bilirubin, other LFTs normal. Diagnosis is –"
MedMCQA,general,medmcqa::validation::532,Pickling:,Is accomplished by soaking the casting in baking soda,Causes porosity in gold,Removes surface oxides from gold castings,Remove investment from gold casting,C,Pickling:
MedMCQA,general,medmcqa::validation::533,Easiest 3rd molar surgical extraction is:,Mesioangular,Horizontal,Vertical,Distoangular,A,Easiest 3rd molar surgical extraction is:
MedMCQA,general,medmcqa::validation::534,"In examining the edentulous mouth of an aged patient wearing complete maxillary denture against six mandibular teeth, the dentist will see:",Cystic degeneration of the foramina of the anterior palatine nerve,Loss of osseous structure in the anterior maxilla,Flabby tissue in the posterior region,Decrease interocclusal distance,B,"In examining the edentulous mouth of an aged patient wearing complete maxillary denture against six mandibular teeth, the dentist will see:"
MedMCQA,general,medmcqa::validation::535,Obstructive sleep apnoea caused by the following,Mandibular ameloblasma,Dentigerous cyst,Orbital fracture,Bilateral TMJ ankylosis,D,Obstructive sleep apnoea caused by the following
MedMCQA,general,medmcqa::validation::536,Von Willebrand factor is secreted by which of the following?,Macrophages,Endothelial cells,Platelets,Fibroblast,B,Von Willebrand factor is secreted by which of the following?
MedMCQA,general,medmcqa::validation::537,Factors affecting the treatment of MI,Regional wall motion abnormality,Troponin level,Both,None,C,Factors affecting the treatment of MI
MedMCQA,general,medmcqa::validation::538,All of the following are features of systemic Juvenile Rheumatoid Arthritis except –,Uveitis,Rash,Fever,Hepatosplenomegaly,A,All of the following are features of systemic Juvenile Rheumatoid Arthritis except –
MedMCQA,general,medmcqa::validation::539,An 80 kg male patient presented to the emergency with hypotension and you have been instructed to sta him on an inotrope at a dose of 10 mcg/kg/min. Each 5 mL amp of the drug contains 200 mg drug. You choose 2 ampules of the drug and decide to mix it with saline to make a 250 mL solution. What should be the flow rate of the drug solution to maintain the BP of the patient (assuming 16 drops = 1 mL)?,4 drops/min,8 drops/min,10 drops/min,16 drops/min,B,An 80 kg male patient presented to the emergency with hypotension and you have been instructed to sta him on an inotrope at a dose of 10 mcg/kg/min. Each 5 mL amp of the drug contains 200 mg drug. You choose 2 ampules of the drug and decide to mix it with saline to make a 250 mL solution. What should be the flow rate of the drug solution to maintain the BP of the patient (assuming 16 drops = 1 mL)?
MedMCQA,general,medmcqa::validation::540,"A two year old girl child is brought to the out patient with features of hand wringing stereotype movements, impaired language and communication development, breath holding spells, poor social skills and deceleration of head growth after 6 months of age. The most likely diagnosis is –",Asperger's syndrome,Rett's syndrome,Fragile x–syndrome,Colarad syndrome,B,"A two year old girl child is brought to the out patient with features of hand wringing stereotype movements, impaired language and communication development, breath holding spells, poor social skills and deceleration of head growth after 6 months of age. The most likely diagnosis is –"
MedMCQA,general,medmcqa::validation::541,How many scores are used in modified Dean's ﬂuorosis index?,4,6,8,5,B,How many scores are used in modified Dean's ﬂuorosis index?
MedMCQA,general,medmcqa::validation::542,Beta 3 glucan assay testing not done for,Invasive candidiasis,Aspergillosis,Pneumocystis carnii,Mucormycosis,D,Beta 3 glucan assay testing not done for
MedMCQA,general,medmcqa::validation::543,Topical treatment for recurrent respiratory papillomatosis includes:,Acyclovir,Cidofovir,Ranitidine,Zinc,B,Topical treatment for recurrent respiratory papillomatosis includes:
MedMCQA,general,medmcqa::validation::544,More than 80% cephalic index of a patient indicates which of the following,Brachycephalic,Mesocephatic,Dolicocephalic,Depends on age,A,More than 80% cephalic index of a patient indicates which of the following
MedMCQA,general,medmcqa::validation::545,Major determinant of loading dose of a drug is,Half life,Clearance,Volume of distribution,Bioavailability,C,Major determinant of loading dose of a drug is
MedMCQA,general,medmcqa::validation::546,Divergence from contact area in proximal surfaces causes embrasures:,Facially,Lingually,Cervically,"Facially, lingually, cervically & occlusally",D,Divergence from contact area in proximal surfaces causes embrasures:
MedMCQA,general,medmcqa::validation::547,Yellowish-brown staining of the IOPA dental X-ray film is due to:,Immersion in fixer without washing,Increased temperature of developer,Increased exposure time,Drying away of the developer solution,A,Yellowish-brown staining of the IOPA dental X-ray film is due to:
MedMCQA,general,medmcqa::validation::548,Which of the following is not ture about increased intracraniaL pressure,Headache,Nausea / vomiting,Muscle twitching,Somnolence,C,Which of the following is not ture about increased intracraniaL pressure
MedMCQA,general,medmcqa::validation::549,Retromolar pad:,Should not be covered by Low denture,Should be covered by lower denture,Has tendon of temporal muscle attached to it,Disappears on eruption of mandibular last molars,B,Retromolar pad:
MedMCQA,general,medmcqa::validation::550,The process of transfer of information from the RNA to the proteins is called:,Mutation,Translation,Transcription,Conjugation,B,The process of transfer of information from the RNA to the proteins is called:
MedMCQA,general,medmcqa::validation::551,All of the following are potentially serious side effects of thioamide group of antithyroid drugs except:,Hepatic dysfunction,Severe rash,Agranulocytosis,Anaphylaxis,D,All of the following are potentially serious side effects of thioamide group of antithyroid drugs except:
MedMCQA,general,medmcqa::validation::552,"In which stage of neurocysticercosis, there is no edema?",Vesicular,Vesicular colloidal,Granular nodular,Nodular calcified,D,"In which stage of neurocysticercosis, there is no edema?"
MedMCQA,general,medmcqa::validation::553,Which of the following is not a pa of the quadruple test for antenatal detection of Down syndrome?,AFP,Estriol,Beta HCG,Inhibin B,D,Which of the following is not a pa of the quadruple test for antenatal detection of Down syndrome?
MedMCQA,general,medmcqa::validation::554,Antibody-dependent enhancement is implicated in the immunopathogenesis of which disease?,Influenza,Staphylococcal toxic shock syndrome,Waterhouse-Friderichsen syndrome,Dengue hemorrhagic fever,D,Antibody-dependent enhancement is implicated in the immunopathogenesis of which disease?
MedMCQA,general,medmcqa::validation::555,The drug not belonging to amide group,Procaine,Xylocaine,Lignocaine,Bupivacaine,A,The drug not belonging to amide group
MedMCQA,general,medmcqa::validation::556,Extra retention in abutment teeth is obtained with:,Dovetail,"Slots, pins and grooves",Outline form,Increasing tooth reduction,B,Extra retention in abutment teeth is obtained with:
MedMCQA,general,medmcqa::validation::557,Sonic frequency range is:,1000-2000 Hz,1500-6000 Hz,"20,000-30,000 Hz","10,000 Hz",B,Sonic frequency range is:
MedMCQA,general,medmcqa::validation::558,Cause of apical periodontitis is/are:,Sequel of pulpal diseases,Wedging of foreign object between the teeth,High points in restoration,All of the above,D,Cause of apical periodontitis is/are:
MedMCQA,general,medmcqa::validation::559,Which of the following series act as the best space maintainer in a child's mouth?,Restored deciduous tooth,Acrylic partial denture,Distal shoe space maintainer,Band and loop space maintainer,A,Which of the following series act as the best space maintainer in a child's mouth?
MedMCQA,general,medmcqa::validation::560,Most common cause of postauricular lymphadenopathy in children :,Sore throat,Pediculosis capitis,Pulmonary Koch's,Chronic suppurative otitis media,B,Most common cause of postauricular lymphadenopathy in children :
MedMCQA,general,medmcqa::validation::561,Infected mandibular angle fracture is treated by?,Mini plates,Reconstruction plates,Champy plate at upper border,IMF + ID,D,Infected mandibular angle fracture is treated by?
MedMCQA,general,medmcqa::validation::562,"Of all the solvent used to dissolve Gutta Percha, safest & efficacious G.P. solvent is?",Halothane,Chloroform,Methylchloroform,Xylene,B,"Of all the solvent used to dissolve Gutta Percha, safest & efficacious G.P. solvent is?"
MedMCQA,general,medmcqa::validation::563,The following enzyme is responsible for thirst mechanism during dehydration?,ADH,Noradrenaline,Epinephrine,Dopamine,A,The following enzyme is responsible for thirst mechanism during dehydration?
MedMCQA,general,medmcqa::validation::564,Ptosis may be caused by a lesion of the:,Oculomotor nerve,Superior oblique,Trigeminal nerve,Trochlear nerve,A,Ptosis may be caused by a lesion of the:
MedMCQA,general,medmcqa::validation::565,The treatment of choice for primary grade V vesicoureteric reflux involving both kidneys in a 6 month old boy is –,Antibiotic prophylaxis,Ureteric reimplantation,Cystoscopy followed by subureteric injection of teflon,Bilateral ureterostomies.,A,The treatment of choice for primary grade V vesicoureteric reflux involving both kidneys in a 6 month old boy is –
MedMCQA,general,medmcqa::validation::566,Idiosyncratic side-effects of carbamazepine are all except:,Steven-Johnson syndrome,Agranulocytosis,Rash,Blurred vision,D,Idiosyncratic side-effects of carbamazepine are all except:
MedMCQA,general,medmcqa::validation::567,Neoplasia of blood vessel is called,Angioma,Hematoma,Lymphosarcoma,Papilloma,A,Neoplasia of blood vessel is called
MedMCQA,general,medmcqa::validation::568,Which of the following is innervated by the vagus nerve?,The levator veli palatine (levator palatini),The posterior belly of digastric,Mylohyoid,The tensor veli palatine (tensor palatini),A,Which of the following is innervated by the vagus nerve?
MedMCQA,general,medmcqa::validation::569,A voluntary donor underwent apheresis for platelet donation for the first time after which he developed perioral tingling and numbness. This is seen because,His platelet count was low for donation,He underwent apheresis for the first time,Due to fluid depletion,Due to citrate based anticoagulant,D,A voluntary donor underwent apheresis for platelet donation for the first time after which he developed perioral tingling and numbness. This is seen because
MedMCQA,general,medmcqa::validation::570,P3L3 came to opd with postcoital bleeding and pap positive p/v cervix hyperophied bleed on touch diagnosis -,CA cervix,Fibroid,Cervicitis,Cervical polyp,A,P3L3 came to opd with postcoital bleeding and pap positive p/v cervix hyperophied bleed on touch diagnosis -
MedMCQA,general,medmcqa::validation::571,Which of the following PPE (Personal Protective Equipment) is removed first?,Gloves,Face shield,Gown,Mask,A,Which of the following PPE (Personal Protective Equipment) is removed first?
MedMCQA,general,medmcqa::validation::572,"A cyst occurs under the tongue, caused by obstruction of a salivary gland. Such a cyst is called:",Mucocele,Ranula,Derrnoid cyst,Dentigerous cyst,B,"A cyst occurs under the tongue, caused by obstruction of a salivary gland. Such a cyst is called:"
MedMCQA,general,medmcqa::validation::573,What is the maximum capacity of Bakri balloon which is used in post paum hemorrhage?,200 mL,300 in L,500 mL,1000 m L,C,What is the maximum capacity of Bakri balloon which is used in post paum hemorrhage?
MedMCQA,general,medmcqa::validation::574,All of these are G2 phase blockers except:,Etoposide,Topotecan,Paclitaxel,Daunorubicin,C,All of these are G2 phase blockers except:
MedMCQA,general,medmcqa::validation::575,The primary action of topical fluoride is a:,Conversion of hydroxyapatite to fluoroapatite,Decrease in the plaque bacteria,Form a reservoir in saliva,Improve morphology of teeth,A,The primary action of topical fluoride is a:
MedMCQA,general,medmcqa::validation::576,A child is admitted on 7 days of life with severe respiratory distress and shock. He was discharged 2 days back healthy. What could be the probable diagnosis –,VSD large,Hypoplastic left heart syndrome,Ebstein anomaly,AP window defect,B,A child is admitted on 7 days of life with severe respiratory distress and shock. He was discharged 2 days back healthy. What could be the probable diagnosis –
MedMCQA,general,medmcqa::validation::577,"A 20 years old boy presented with persistent cervical lymphadenopathy for the past 1 year. Histopathology of lymph node shows Reed-Sternberg cells with focal nodularity and background of T reactive lymphocytes. The cells were positive for CD20, LCA, EMA and negative for CD15 and CD30 and EBV negative. Diagnosis is:",Nodular lymphocyte predominant Hodgkin's lymphoma,Lymphocyte rich Hodgkin's lymphoma,Diffuse large B-cell lymphoma,Small cell lymphoma,A,"A 20 years old boy presented with persistent cervical lymphadenopathy for the past 1 year. Histopathology of lymph node shows Reed-Sternberg cells with focal nodularity and background of T reactive lymphocytes. The cells were positive for CD20, LCA, EMA and negative for CD15 and CD30 and EBV negative. Diagnosis is:"
MedMCQA,general,medmcqa::validation::578,"Among all of the following foramens in the base of skull, which is, the most posteriorly present:",Foramen spinosum,Foramen rotundum,Foramen ovale,All at same level,A,"Among all of the following foramens in the base of skull, which is, the most posteriorly present:"
MedMCQA,general,medmcqa::validation::579,Most common pathognomonic sign of mandibular fracture:,Sublingual hematoma.,Malocclusion,Tenderness,Buccal hematoma.,A,Most common pathognomonic sign of mandibular fracture:
MedMCQA,general,medmcqa::validation::580,Open reduction of condylar fracture is strongly indicated in (Or) Absolute indication for open reduction in condylar fractures,Condyle fracture along with body fracture,Lateral displacement of the condyle (or) Lateral fracture dislocation condyle,200 angulations,Condyle is separated from the stump,B,Open reduction of condylar fracture is strongly indicated in (Or) Absolute indication for open reduction in condylar fractures
MedMCQA,general,medmcqa::validation::581,BCG is maximally protective against:-,Pulmonary TB,Pulmonary and CNS TB,CNS and Disseminated TB,Extra pulmonary TB,C,BCG is maximally protective against:-
MedMCQA,general,medmcqa::validation::582,"A patient underwent laparoscopic cholecystectomy and was discharged on the same day. On postoperative day 3, he presented to the hospital with fever. Ultra-sonography showed a 5 x 5 cm collection in the right sub diaphragmatic region. What will be the manage!ment?",Observe with antibiotic cover,Re-explore the wound with T-tube inseion,Pigtail inseion and drainage,ERCP and proceed,C,"A patient underwent laparoscopic cholecystectomy and was discharged on the same day. On postoperative day 3, he presented to the hospital with fever. Ultra-sonography showed a 5 x 5 cm collection in the right sub diaphragmatic region. What will be the manage!ment?"
MedMCQA,general,medmcqa::validation::583,"About Transfusion Related Acute Lung Injury (TRALI), all of the following are true except:",Signs and symptoms usually subsides within 2-3 weeks of onset,Suppoive care is the mainstay of treatment,Steroids have a doubtful role in management,Moality is less than 10%,A,"About Transfusion Related Acute Lung Injury (TRALI), all of the following are true except:"
MedMCQA,general,medmcqa::validation::584,A pregnant lady is diagnosed to be HBs Ag positive. Which of the following is the best way to prevent infection to the child:,Hepatitis vaccine to the child,Full course of Hepatitis B vaccine and immunoglobulin to the child,Hepatitis B immunoglobulin to the mother,Hepatitis B immunization to mother,B,A pregnant lady is diagnosed to be HBs Ag positive. Which of the following is the best way to prevent infection to the child:
MedMCQA,general,medmcqa::validation::585,Which of the following statements concerning hepatitis infection in pregnancy is true?:,Hepatitis B core antigen status is the most sensitive indicator of positive vertical transmission of disease,Hepatitis B is the most common form of hepatitis after blood transfusion,The proper treatment of infants born to infected mothers includes the administration of hepatitis B immune globulin as well as vaccine,Patients who develop chronic active hepatitis should undergo MTP,C,Which of the following statements concerning hepatitis infection in pregnancy is true?:
MedMCQA,general,medmcqa::validation::586,Endocarditis is most commonly seen in:,Aortic stenosis.,Mitral regurgitation.,Patent ductus arteriosus.,Venous bypass graft.,A,Endocarditis is most commonly seen in:
MedMCQA,general,medmcqa::validation::587,"A patient with multiple loose teeth requires extraction and has mitral stenosis with mild cardiac insufficiency. He is on enalapril, digoxin, and furosemide. The antibiotic of choice to prevent bacterial endocarditis is:",Amoxicillin,Doxycycline,Cotrimoxazole,Gentamicin,A,"A patient with multiple loose teeth requires extraction and has mitral stenosis with mild cardiac insufficiency. He is on enalapril, digoxin, and furosemide. The antibiotic of choice to prevent bacterial endocarditis is:"
MedMCQA,general,medmcqa::validation::588,A patient with a history of diabetes for one year with no other complications should have an ophthalmic examination?,As early as feasible,After 5 years,After 10 years,Only after visual symptoms level,A,A patient with a history of diabetes for one year with no other complications should have an ophthalmic examination?
MedMCQA,general,medmcqa::validation::589,An I.V. drug abuser presents with fever for 10 days. CXR shows B/L lower lobe consolidation with necrosis and right sided pyopneumothorax. Probable diagnosis is:,MV endocarditis due to viridans Streptococci,TV endocarditis due to Staph. aureus,Tuberculosis,Pneumocystis jirovecii infection,B,An I.V. drug abuser presents with fever for 10 days. CXR shows B/L lower lobe consolidation with necrosis and right sided pyopneumothorax. Probable diagnosis is:
MedMCQA,general,medmcqa::validation::590,A breast fed child presents with hypernatremia (Serum sodium > 170m Eq/L). His urine sodium is 70 mEq/L. Which of the following is the most likely cause –,Diabetes insipidus,Acute necrosis,Severe dehydration,Excessive intake of sodium,D,A breast fed child presents with hypernatremia (Serum sodium > 170m Eq/L). His urine sodium is 70 mEq/L. Which of the following is the most likely cause –
MedMCQA,general,medmcqa::validation::591,Gingival massage increases blood supply in:,Epidermis,Basal layer,Lamina propria,All of the above,C,Gingival massage increases blood supply in:
MedMCQA,general,medmcqa::validation::592,Initial calcification of crown represents Which Nolla's stage:,Stage 1,Stage 2,Stage 3,Stage 4,B,Initial calcification of crown represents Which Nolla's stage:
MedMCQA,general,medmcqa::validation::593,Plastic carrier size of 40-90 in carrier base Gutta percha are made from?,Poly propylene,Poly Sulphone,Poly Sulphide,Liquid crystal plastic,B,Plastic carrier size of 40-90 in carrier base Gutta percha are made from?
MedMCQA,general,medmcqa::validation::594,All of the following are true for light cure composite except:,Held at distance of 1 mm from tooth,Use of orange glass shield for eye protection,Polymerization reaction continues for a period of 72 hours,Adding increments of 1-2 mm,C,All of the following are true for light cure composite except:
MedMCQA,general,medmcqa::validation::595,The joint which histologically & morphologically best simulate the TMJ is,5th costochondral graft,3rd metatarsal graft,Sternoclavicular graft,None of the above,C,The joint which histologically & morphologically best simulate the TMJ is
MedMCQA,general,medmcqa::validation::596,"A patient sustained A and endotracheal intubation was done. Most likely GCS score of such a patient would be:March 2013 (b, c, d)",8,10,12,15,A,"A patient sustained A and endotracheal intubation was done. Most likely GCS score of such a patient would be:March 2013 (b, c, d)"
MedMCQA,general,medmcqa::validation::597,Rapid onset of action seen by local anesthesia in small nerve endings is due to,Increased threshold of small nerves due to depolarization,Low pH of small nerve fibres,High ratio of surface area to the volume of small nerve fibres,Increased resting potential of small nerve fibres,C,Rapid onset of action seen by local anesthesia in small nerve endings is due to
MedMCQA,general,medmcqa::validation::598,Which of the following intrauterine infections is associated with limb reduction defects and scarring of skin –,Varicella virus,Herpes virus,Rubella,Parvovirus,A,Which of the following intrauterine infections is associated with limb reduction defects and scarring of skin –
MedMCQA,general,medmcqa::validation::599,Acromegaly is associated with,Class. I malocclusion,Class. I cross bite,Class. II malocclusion,Class. III malocclusion,D,Acromegaly is associated with
MedMCQA,general,medmcqa::validation::600,The appropriate force required to tip a tooth is:,10 - 20mg,35 - 60mg,50 - 70mg,70 - 100mg,B,The appropriate force required to tip a tooth is:
MedMCQA,general,medmcqa::validation::601,Function of Merkel's cells is:,Tactile sensation,Melanophage,Chemoreceptor,Proprioception,A,Function of Merkel's cells is:
MedMCQA,general,medmcqa::validation::602,Which of the following is function of fluoride flux in soldering process?,It prevents the formation of copper oxide,It prevents the formation of chromium oxide or dissolves chromic oxide layer,It prevents the flow of material in undesirable area,Increases the strength of solder,B,Which of the following is function of fluoride flux in soldering process?
MedMCQA,general,medmcqa::validation::603,Hyperparathyroidism is associated with:,Renal stones,Bone resorption,Increased level of serum calcium,All of the above,D,Hyperparathyroidism is associated with:
MedMCQA,general,medmcqa::validation::604,"Surgery on the hard palate of a 3 years old cleft patient may inhibit growth, causing the facial profile to become:",Straight,Elongated,Shortened,More concave,D,"Surgery on the hard palate of a 3 years old cleft patient may inhibit growth, causing the facial profile to become:"
MedMCQA,general,medmcqa::validation::605,"A 16-year old girl was brought with primary amenorrhea. Her mother mentioned that she staed developing breast at the age of 12. She was prescribed OCPs 2 years back by a doctor with no effect. She was having normal stature and was a football player. On examination, breasts were well developed (Tanner's stage 5) and pubic hair was minimal (Tanner's stage 1). What is the most probable diagnosis?",Premature ovarian failure,Turner's syndrome,Miillerian agenesis,Androgen insensitivity,D,"A 16-year old girl was brought with primary amenorrhea. Her mother mentioned that she staed developing breast at the age of 12. She was prescribed OCPs 2 years back by a doctor with no effect. She was having normal stature and was a football player. On examination, breasts were well developed (Tanner's stage 5) and pubic hair was minimal (Tanner's stage 1). What is the most probable diagnosis?"
MedMCQA,general,medmcqa::validation::606,Absence of which of the given milestones in a 3 year old child should be called delayed development?,Hopping on one leg,Drawing square,Feeding by spoon,Catching a ball reliably,C,Absence of which of the given milestones in a 3 year old child should be called delayed development?
MedMCQA,general,medmcqa::validation::607,Which of the following tooth structure during formation is most effected due to Vit -A deficiency,Enamel,Dentin,Cementom,Periodontal Ligament,A,Which of the following tooth structure during formation is most effected due to Vit -A deficiency
MedMCQA,general,medmcqa::validation::608,Indications for caesarean section in pregnancy are all except:,Eisenmenger's syndrome,Aortic stenosis,MR,Aortic regurgitation,A,Indications for caesarean section in pregnancy are all except:
MedMCQA,general,medmcqa::validation::609,Brachycephaly is due to fusion of –,Parietal suture,Sagittal suture,Lambdoid suture,Coronal suture,D,Brachycephaly is due to fusion of –
MedMCQA,general,medmcqa::validation::610,The forces acting through a fixed partial denture on the abutment tooth should be directed:,As far as possible at right angles to the long axis of the teeth,Parallel to the long axis of the teeth,By decreasing the mesio-distal dimension,None of the above,B,The forces acting through a fixed partial denture on the abutment tooth should be directed:
MedMCQA,general,medmcqa::validation::611,All of the following drugs require dose reduction in renal failure except?,Amphotericin B,Vancomycin,Gentamicin,Doxycycline,D,All of the following drugs require dose reduction in renal failure except?
MedMCQA,general,medmcqa::validation::612,Which of the following is not used in osteoporosis?,Milnacipran,PTH,Strontium ranelate,Denosumab,A,Which of the following is not used in osteoporosis?
MedMCQA,general,medmcqa::validation::613,Consistent radiographs require:,Long cone technique,Fixed kvp & mA,Automatic processing,Proper developing,B,Consistent radiographs require:
MedMCQA,general,medmcqa::validation::614,All of the following are true about augmentation of labor except:,Twin pregnancy precludes the use of oxytocin,Amniotomy decreases the need for oxytocin use,Methods of augmentation does not increase the risk of operational management,Associated with a risk of uterine hyper stimulation,A,All of the following are true about augmentation of labor except:
MedMCQA,general,medmcqa::validation::615,"Nucleus in brain common to IX, X and XI cranial nerves:",Nucleus solitarius,Nucleus ambiguus,Dentate nucleus,Red nucleus,B,"Nucleus in brain common to IX, X and XI cranial nerves:"
MedMCQA,general,medmcqa::validation::616,Acromegaly occurs:,Before closure of epiphyses of long bones,After closure of epiphyses of long bones,Not related to closure of epiphyses of long bones,Depending on functioning on posterior Pituitary gland,B,Acromegaly occurs:
MedMCQA,general,medmcqa::validation::617,Fordyce's spots are:,Fat tissue embedded in buccal mucosa,Red spots,Present on the cheek mucosa lateral to angle of the mouth,All of the above,C,Fordyce's spots are:
MedMCQA,general,medmcqa::validation::618,The tipping of a tooth results in the fibers of the PDL to be:,All compressed,All stretched,Half compressed half stretched,No effect,C,The tipping of a tooth results in the fibers of the PDL to be:
MedMCQA,general,medmcqa::validation::619,A 6-month child presented with diarrhea and vomiting for three days. Which of the following enterotoxin is most likely responsible for the condition?,NSP4,NSP6,VP3,VP7,A,A 6-month child presented with diarrhea and vomiting for three days. Which of the following enterotoxin is most likely responsible for the condition?
MedMCQA,general,medmcqa::validation::620,Most common site of CSF Rhinorrhoea is,Ethmoidal sinus,Frontal sinus,Petrous bone,Cribriform plate,D,Most common site of CSF Rhinorrhoea is
MedMCQA,general,medmcqa::validation::621,Lymph from tongue not drained by following vessels,Central,Ventral,Posterior,Marginal,B,Lymph from tongue not drained by following vessels
MedMCQA,general,medmcqa::validation::622,Vitamin K:,Helps in formation of prothrombin,Inhibition of antithrombin,Prevention of capillary fragility,Stimulation of hematopoiesis in red bone marrow,A,Vitamin K:
MedMCQA,general,medmcqa::validation::623,The primary site of action of antidiuretic hormone is on the:,Distal tubules and collecting ducts in the kidney,Afferent arterioles of the glomeruli,Thirst center in the hypothalamus,Osmoreceptors in the hypothalamus,A,The primary site of action of antidiuretic hormone is on the:
MedMCQA,general,medmcqa::validation::624,The part of the mandible which ossify in cartilage is:,Coronoid process,Condylar process,Upper half of ramus above the level of mandibular foramen,All of the above,D,The part of the mandible which ossify in cartilage is:
MedMCQA,general,medmcqa::validation::625,"In a cerebrohepatorenal syndrome, which of the following accumulate in brain?",Pyruvate,Sho-chain fatty acid,Very long-chain fatty acid,Acetyl CoA,C,"In a cerebrohepatorenal syndrome, which of the following accumulate in brain?"
MedMCQA,general,medmcqa::validation::626,"Patient's cross-infection with sensor, in digital radiography/RVG is prevented by",Cover with autoclaved cloth with each use,Wipe with ethyl alcohol in each patient,Clean with 5.25% sodium hypochlorite in each patient,Cover with impervious barrier,D,"Patient's cross-infection with sensor, in digital radiography/RVG is prevented by"
MedMCQA,general,medmcqa::validation::627,"Term ""Clean Tooth Never Decays"" given by",Perrie Fauchard,Leon J Williams,Dean,MJ Rihanna,B,"Term ""Clean Tooth Never Decays"" given by"
MedMCQA,general,medmcqa::validation::628,intermediate of kreb cycle used in heme synthesis;,succinyl-CoA,Alpha ketoglutarate,Citrate,Aspaate,A,intermediate of kreb cycle used in heme synthesis;
MedMCQA,general,medmcqa::validation::629,"Patient with Type I diabetes mellitus, with complains of polyuria. Which of the following will occur normally in his body?",Glycogenesis in muscle,Increased protein synthesis,Increased conversion of fatty acid to acetyl CoA,Decreased cholesterol synthesis,C,"Patient with Type I diabetes mellitus, with complains of polyuria. Which of the following will occur normally in his body?"
MedMCQA,general,medmcqa::validation::630,Reactive oxygen metabolite in lysosomes is released by,Peroxidase,NADPH oxidase,Superoxide dismutase,Catalase,B,Reactive oxygen metabolite in lysosomes is released by
MedMCQA,general,medmcqa::validation::631,Square root of pq/n indicates:,Standard error of mean,Standard error of difference of means,Standard error of proportions,Standard error of difference in proportions,C,Square root of pq/n indicates:
MedMCQA,general,medmcqa::validation::632,Which of the following should be treated by using a tissue conditioner material?,Tissue symptoms related to diabetes mellitus,Generalized ridge hyperplasia,Traumatized mucosa caused by ill fitting dentures,Sharp residual ridge in molar area,C,Which of the following should be treated by using a tissue conditioner material?
MedMCQA,general,medmcqa::validation::633,Which of the following is not an indication for evisceration?,Malignancy,Panophthalmitis,Severe globe trauma,Expulsive hemorrhage,A,Which of the following is not an indication for evisceration?
MedMCQA,general,medmcqa::validation::634,The one measurement of fetal maturity that is not affected by a 'bloody tap' during amniocentesis is:,L/S ratio,Phosphatidyl glycerol,α-fetoprotein,Bilirubin as a measured by DOD 450,B,The one measurement of fetal maturity that is not affected by a 'bloody tap' during amniocentesis is:
