dataset,subject,uid,question,option_a,option_b,option_c,option_d,answer,text_gt
MMLU,professional_medicine,mmlu::professional_medicine::0,An 84-year-old female is diagnosed with a third recurrence of breast cancer that has now metastasized to the brain and lungs. She does not wish to pursue further treatment at this time despite being advised that this is a terminal condition. Her family insists on trying both radiation and chemotherapy in hopes that the cancer will again be successfully treated. It is the duty of the physician to,agree with the family since they have the patient's best interest in mind,convince the patient to try either radiation or chemotherapy,disregard the family's wishes,protect the patient's autonomy,D,An 84-year-old female is diagnosed with a third recurrence of breast cancer that has now metastasized to the brain and lungs. She does not wish to pursue further treatment at this time despite being advised that this is a terminal condition. Her family insists on trying both radiation and chemotherapy in hopes that the cancer will again be successfully treated. It is the duty of the physician to
MMLU,professional_medicine,mmlu::professional_medicine::1,"A cohort study is conducted to compare the incidence of adverse effects of a recently approved antihypertensive pharmacotherapy with that of conventional therapy. A total of 20,000 patients are enrolled. Twelve thousand are prescribed the recently approved therapy, and 8,000 are prescribed conventional therapy. Patients in the study and control groups are matched for baseline blood pressure, age, and gender. Data are collected from the records of the patients' ongoing clinical care. Results show that those receiving the newly approved treatment have twice the incidence of fatigue compared with those receiving the conventional treatment. The results are statistically significant (p=0.01). Which of the following potential flaws is most likely to invalidate this study?",Publication bias,Selection bias,Type I error,Type II error,B,"A cohort study is conducted to compare the incidence of adverse effects of a recently approved antihypertensive pharmacotherapy with that of conventional therapy. A total of 20,000 patients are enrolled. Twelve thousand are prescribed the recently approved therapy, and 8,000 are prescribed conventional therapy. Patients in the study and control groups are matched for baseline blood pressure, age, and gender. Data are collected from the records of the patients' ongoing clinical care. Results show that those receiving the newly approved treatment have twice the incidence of fatigue compared with those receiving the conventional treatment. The results are statistically significant (p=0.01). Which of the following potential flaws is most likely to invalidate this study?"
MMLU,professional_medicine,mmlu::professional_medicine::2,"A 55-year-old man is brought to the emergency department by his wife because he told her he did not want to live anymore. During the past 6 weeks, he has experienced fatigue, loss of interest in usual activities, a 7-kg (15-lb) weight loss, and insomnia. He has no history of serious medical or psychiatric illness. Vital signs are temperature 37.0°C (98.6°F), pulse 80/min, respirations 16/min, and blood pressure 140/82 mm Hg. Physical examination discloses no abnormalities. Beck Depression Inventory score is 35 (severely depressed). He says he feels guilty that his investments have not done well and that he has ruined his family finances. He reports he hears voices at night telling him he has sinned. In addition to olanzapine, which of the following is the best treatment option for this patient?",Divalproex,Fluoxetine,Lamotrigine,Lithium carbonate,B,"A 55-year-old man is brought to the emergency department by his wife because he told her he did not want to live anymore. During the past 6 weeks, he has experienced fatigue, loss of interest in usual activities, a 7-kg (15-lb) weight loss, and insomnia. He has no history of serious medical or psychiatric illness. Vital signs are temperature 37.0°C (98.6°F), pulse 80/min, respirations 16/min, and blood pressure 140/82 mm Hg. Physical examination discloses no abnormalities. Beck Depression Inventory score is 35 (severely depressed). He says he feels guilty that his investments have not done well and that he has ruined his family finances. He reports he hears voices at night telling him he has sinned. In addition to olanzapine, which of the following is the best treatment option for this patient?"
MMLU,professional_medicine,mmlu::professional_medicine::3,"A 14-year-old girl with a 9-year history of type 1 diabetes mellitus is brought to the physician by her mother for a follow-up examination. She has been admitted to the hospital twice in the past 3 months because of diabetic ketoacidosis. She previously had been compliant with monitoring her blood glucose concentration and with her diet and insulin regimen. She acknowledges that, when she is with her peers, she eats whatever she wants and does not check her blood glucose concentration. She adds, ""I'm embarrassed to inject myself in front of them."" The physician is having a great deal of difficulty with her 15-year-old son who has been truant from school and sneaking out of the house. She says to the patient, ""You should be ashamed for not taking care of yourself. We've all worked so hard to keep you healthy."" Which of the following terms best describes the physician's reaction to the patient?",Countertransference,Identification with the aggressor,Projection,Splitting,A,"A 14-year-old girl with a 9-year history of type 1 diabetes mellitus is brought to the physician by her mother for a follow-up examination. She has been admitted to the hospital twice in the past 3 months because of diabetic ketoacidosis. She previously had been compliant with monitoring her blood glucose concentration and with her diet and insulin regimen. She acknowledges that, when she is with her peers, she eats whatever she wants and does not check her blood glucose concentration. She adds, ""I'm embarrassed to inject myself in front of them."" The physician is having a great deal of difficulty with her 15-year-old son who has been truant from school and sneaking out of the house. She says to the patient, ""You should be ashamed for not taking care of yourself. We've all worked so hard to keep you healthy."" Which of the following terms best describes the physician's reaction to the patient?"
MMLU,professional_medicine,mmlu::professional_medicine::4,"A 70-year-old woman comes to the office for an annual health maintenance examination. She describes a 1-year history of slowly progressive fatigue, diffuse muscle aches, and generalized pain. Medical history is significant for osteoporosis diagnosed 5 years ago. Medications include alendronate and calcium supplementation. Vital signs are normal. Physical examination is unremarkable for her age, with no point tenderness on palpation. Results of complete blood count, serum electrolyte and thyroid-stimulating hormone concentrations, liver function tests, and erythrocyte sedimentation rate are all within the reference ranges. Screening mammography and colonoscopy done 1 year ago disclosed no abnormalities. Which of the following is the most appropriate next step in evaluation?",Electromyography and nerve conduction studies,MRI of the cervical spine,Serum antinuclear antibody assay,Serum 25-hydroxyvitamin D assay,D,"A 70-year-old woman comes to the office for an annual health maintenance examination. She describes a 1-year history of slowly progressive fatigue, diffuse muscle aches, and generalized pain. Medical history is significant for osteoporosis diagnosed 5 years ago. Medications include alendronate and calcium supplementation. Vital signs are normal. Physical examination is unremarkable for her age, with no point tenderness on palpation. Results of complete blood count, serum electrolyte and thyroid-stimulating hormone concentrations, liver function tests, and erythrocyte sedimentation rate are all within the reference ranges. Screening mammography and colonoscopy done 1 year ago disclosed no abnormalities. Which of the following is the most appropriate next step in evaluation?"
MMLU,professional_medicine,mmlu::professional_medicine::5,"A 6-day-old breast-fed boy is brought to the emergency department by his mother because of poor weight gain and irritability since delivery, and a 2-hour history of vomiting. Physical examination shows jaundice and hepatomegaly. A reducing substance test result of the urine is positive, and a glucose oxidase test result is negative. The concentration of which of the following metabolites in liver is most likely increased in this patient?","Fructose 1,6-bisphosphate",Galactose 1-phosphate,Glucose 1-phosphate,Glucose 6-phosphate,B,"A 6-day-old breast-fed boy is brought to the emergency department by his mother because of poor weight gain and irritability since delivery, and a 2-hour history of vomiting. Physical examination shows jaundice and hepatomegaly. A reducing substance test result of the urine is positive, and a glucose oxidase test result is negative. The concentration of which of the following metabolites in liver is most likely increased in this patient?"
MMLU,professional_medicine,mmlu::professional_medicine::6,"For 8 weeks, a 52-year-old man with a 5-year history of type 2 diabetes mellitus has had deep burning pain in the ball of his right foot and big toe when the foot is raised above chest concentration. He also has cramping in his right calf when he walks more than 50 feet. He has smoked two packs of cigarettes daily for 30 years. Femoral pulses are palpable; pedal pulses are absent. Which of the following is the most likely diagnosis?",Aortoiliac stenosis,Femoral popliteal stenosis,Mononeuropathy,Vasculitis,B,"For 8 weeks, a 52-year-old man with a 5-year history of type 2 diabetes mellitus has had deep burning pain in the ball of his right foot and big toe when the foot is raised above chest concentration. He also has cramping in his right calf when he walks more than 50 feet. He has smoked two packs of cigarettes daily for 30 years. Femoral pulses are palpable; pedal pulses are absent. Which of the following is the most likely diagnosis?"
MMLU,professional_medicine,mmlu::professional_medicine::7,A 56-year-old man comes to the emergency department because of a 4-day history of colicky right flank pain that radiates to the groin and hematuria. Ultrasound examination of the kidneys shows right-sided hydronephrosis and a dilated ureter. Which of the following is most likely to be found on urinalysis?,Glucose,Leukocyte casts,Oval fat bodies,Uric acid crystals,D,A 56-year-old man comes to the emergency department because of a 4-day history of colicky right flank pain that radiates to the groin and hematuria. Ultrasound examination of the kidneys shows right-sided hydronephrosis and a dilated ureter. Which of the following is most likely to be found on urinalysis?
MMLU,professional_medicine,mmlu::professional_medicine::8,"A 45-year-old man with AIDS comes to the community health center because of a 1-week history of fever, chills, sweating, mild shortness of breath, and nonproductive cough. Medical history is also remarkable for pneumonia 3 years ago that required hospitalization. Today, he says that he lost his job 6 months ago, is now homeless, and cannot afford to buy his antiretroviral medications. Vital signs are temperature 38.6°C (101.5°F), pulse 82/min, respirations 20/min, and blood pressure 116/72 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 97%. The health center is very busy with several patients waiting to be evaluated. Which of the following is the most appropriate next step?",Arrange a direct admission to the hospital for this patient,Continue with obtaining a thorough history and examining this patient,Place masks on the patient and yourself and then continue to evaluate him,"Send this patient for chest x-rays, and while they are being obtained examine the next patient",C,"A 45-year-old man with AIDS comes to the community health center because of a 1-week history of fever, chills, sweating, mild shortness of breath, and nonproductive cough. Medical history is also remarkable for pneumonia 3 years ago that required hospitalization. Today, he says that he lost his job 6 months ago, is now homeless, and cannot afford to buy his antiretroviral medications. Vital signs are temperature 38.6°C (101.5°F), pulse 82/min, respirations 20/min, and blood pressure 116/72 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 97%. The health center is very busy with several patients waiting to be evaluated. Which of the following is the most appropriate next step?"
MMLU,professional_medicine,mmlu::professional_medicine::9,"A 19-year-old woman noticed a mass in her left breast 2 weeks ago while doing monthly breast self-examination. Her mother died of metastatic breast cancer at the age of 40 years. Examination shows large dense breasts; a 2-cm, firm, mobile mass is palpated in the upper outer quadrant of the left breast. There are no changes in the skin or nipple, and there is no palpable axillary adenopathy. Which of the following is the most likely diagnosis?",Fibroadenoma,Fibrocystic changes of the breast,Infiltrating ductal carcinoma,Intraductal papilloma,A,"A 19-year-old woman noticed a mass in her left breast 2 weeks ago while doing monthly breast self-examination. Her mother died of metastatic breast cancer at the age of 40 years. Examination shows large dense breasts; a 2-cm, firm, mobile mass is palpated in the upper outer quadrant of the left breast. There are no changes in the skin or nipple, and there is no palpable axillary adenopathy. Which of the following is the most likely diagnosis?"
MMLU,professional_medicine,mmlu::professional_medicine::10,"A 2-week-old newborn is brought to the physician because his lips have turned blue on three occasions during feeding; he also sweats during feeding. He was born at 38 weeks' gestation and weighed 2466 g (5 lb 7 oz); he currently weighs 2778 g (6 lb 2 oz). His temperature is 37.8°C (100°F), pulse is 170/min, respirations are 44/min, and blood pressure is 75/45 mm Hg. A grade 3/6 harsh systolic ejection murmur is heard at the left upper sternal border. An x-ray of the chest shows a small boot-shaped heart and decreased pulmonary vascular markings. Which of the following is the most likely diagnosis?",Anomalous coronary vessels,Atrial septal defect,Endocardial fibroelastosis,Tetralogy of Fallot,D,"A 2-week-old newborn is brought to the physician because his lips have turned blue on three occasions during feeding; he also sweats during feeding. He was born at 38 weeks' gestation and weighed 2466 g (5 lb 7 oz); he currently weighs 2778 g (6 lb 2 oz). His temperature is 37.8°C (100°F), pulse is 170/min, respirations are 44/min, and blood pressure is 75/45 mm Hg. A grade 3/6 harsh systolic ejection murmur is heard at the left upper sternal border. An x-ray of the chest shows a small boot-shaped heart and decreased pulmonary vascular markings. Which of the following is the most likely diagnosis?"
MMLU,professional_medicine,mmlu::professional_medicine::11,"A 72-year-old woman comes to the physician because of a 3-day history of fever, shortness of breath, difficulty swallowing, chest pain, and cough. She is frail. Physical examination shows tachypnea and equal pulses bilaterally. Percussion of the chest shows dullness over the right lower lung field. Laboratory studies show arterial hypoxemia and decreased PCO2. A chest x-ray shows an area of opacification in the lower region of the right lung. Which of the following is the most likely cause of this patient's condition?",Alveolar proteinosis,Aspiration,Cigarette smoking,Emphysema,B,"A 72-year-old woman comes to the physician because of a 3-day history of fever, shortness of breath, difficulty swallowing, chest pain, and cough. She is frail. Physical examination shows tachypnea and equal pulses bilaterally. Percussion of the chest shows dullness over the right lower lung field. Laboratory studies show arterial hypoxemia and decreased PCO2. A chest x-ray shows an area of opacification in the lower region of the right lung. Which of the following is the most likely cause of this patient's condition?"
MMLU,professional_medicine,mmlu::professional_medicine::12,"A 24-year-old woman comes to the office for a routine health maintenance examination. She has been generally healthy for the past year. She is 155 cm (5 ft 1 in) tall and weighs 68 kg (150 lb); BMI is 28 kg/m2 . Vital signs are temperature 37.0°C (98.6°F), pulse 60/min, respirations 18/min, and blood pressure 118/54 mm Hg. Physical examination shows several small (<1 cm), smooth, slightly irregular, mobile, mildly tender lymph nodes palpable in her left groin just below the inguinal ligament. The most likely source of this lymphadenopathy will be found in which of the following?",Bone marrow,Lateral thigh,Lower abdomen,Vulva,D,"A 24-year-old woman comes to the office for a routine health maintenance examination. She has been generally healthy for the past year. She is 155 cm (5 ft 1 in) tall and weighs 68 kg (150 lb); BMI is 28 kg/m2 . Vital signs are temperature 37.0°C (98.6°F), pulse 60/min, respirations 18/min, and blood pressure 118/54 mm Hg. Physical examination shows several small (<1 cm), smooth, slightly irregular, mobile, mildly tender lymph nodes palpable in her left groin just below the inguinal ligament. The most likely source of this lymphadenopathy will be found in which of the following?"
MMLU,professional_medicine,mmlu::professional_medicine::13,"An obese 33-year-old woman has had four 12-hour episodes of severe, sharp, penetrating pain in the right upper quadrant of the abdomen associated with vomiting but no fever. She has no diarrhea, dysuria, or jaundice and is asymptomatic between episodes. There is slight tenderness to deep palpation in the right upper quadrant. Which of the following is the most appropriate next step in diagnosis?",Supine and erect x-rays of the abdomen,Upper gastrointestinal series,Ultrasonography of the upper abdomen,CT scan of the abdomen,C,"An obese 33-year-old woman has had four 12-hour episodes of severe, sharp, penetrating pain in the right upper quadrant of the abdomen associated with vomiting but no fever. She has no diarrhea, dysuria, or jaundice and is asymptomatic between episodes. There is slight tenderness to deep palpation in the right upper quadrant. Which of the following is the most appropriate next step in diagnosis?"
MMLU,professional_medicine,mmlu::professional_medicine::14,"A 25-year-old man with Down syndrome and mild mental retardation is brought to the office by his parents. He is their only child, and they are concerned that his current lifestyle is increasing his risk for coronary artery disease and stroke. The patient has a systolic murmur and also underwent surgical repair of an atrial septal defect at 1 year of age. He has smoked one pack of cigarettes daily for 5 years. He lives in a group home and works about 25 hours each week in a fast-food restaurant. He has a few friends and is romantically involved with a woman from his church group. The patient is 157 cm (5 ft 2 in) tall and weighs 91 kg (200 lb); BMI is 36 kg/m2 . Vital signs are normal. A grade 2/6 systolic murmur is heard best at the apex. The parents would like him to stop smoking and follow a healthier diet, and they feel the only way to monitor and control his behavior is for him to move back into their home. They request your assistance in obtaining legal guardianship of their son. Which of the following is the most appropriate initial recommendation?",Advise the parents not to influence their son's decision in this matter,Arrange for evaluation of their son's competency,Enroll their son in a smoking cessation program,Initiate a family meeting to discuss the parents' concerns with their son,D,"A 25-year-old man with Down syndrome and mild mental retardation is brought to the office by his parents. He is their only child, and they are concerned that his current lifestyle is increasing his risk for coronary artery disease and stroke. The patient has a systolic murmur and also underwent surgical repair of an atrial septal defect at 1 year of age. He has smoked one pack of cigarettes daily for 5 years. He lives in a group home and works about 25 hours each week in a fast-food restaurant. He has a few friends and is romantically involved with a woman from his church group. The patient is 157 cm (5 ft 2 in) tall and weighs 91 kg (200 lb); BMI is 36 kg/m2 . Vital signs are normal. A grade 2/6 systolic murmur is heard best at the apex. The parents would like him to stop smoking and follow a healthier diet, and they feel the only way to monitor and control his behavior is for him to move back into their home. They request your assistance in obtaining legal guardianship of their son. Which of the following is the most appropriate initial recommendation?"
MMLU,professional_medicine,mmlu::professional_medicine::15,"A 21-year-old woman comes to the physician for preconceptional advice. She is recently married and would like to conceive within the next year. She does not eat meat, fish, or dairy products and wishes to decrease the risks of her diet on her baby. Menses occur at regular 28-day intervals and last 5 days. She does not smoke or drink alcohol. She takes no medications. She is 157 cm (5 ft 2 in) tall and weighs 50 kg (110 lb); BMI is 20 kg/m2 . Physical examination shows no abnormalities. Pelvic examination shows a normal appearing vagina, cervix, uterus, and adnexa. Which of the following is most likely to decrease the risk of fetal anomalies in this patient?",Adjusting diet to include more sources of protein during the first trimester,Beginning folic acid supplementation prior to conception,Calcium supplementation during the first trimester,Iron supplementation during the first trimester,B,"A 21-year-old woman comes to the physician for preconceptional advice. She is recently married and would like to conceive within the next year. She does not eat meat, fish, or dairy products and wishes to decrease the risks of her diet on her baby. Menses occur at regular 28-day intervals and last 5 days. She does not smoke or drink alcohol. She takes no medications. She is 157 cm (5 ft 2 in) tall and weighs 50 kg (110 lb); BMI is 20 kg/m2 . Physical examination shows no abnormalities. Pelvic examination shows a normal appearing vagina, cervix, uterus, and adnexa. Which of the following is most likely to decrease the risk of fetal anomalies in this patient?"
MMLU,professional_medicine,mmlu::professional_medicine::16,"A grossly obese 65-year-old male presents to the office with tingling and painful itching in the anterolateral region of the thigh. The patient loses weight, and the symptoms disappear. This paresthesia is most consistent with compression of the",anterior femoral cutaneous nerve,genitofemoral nerve,iliohypogastric nerve,lateral femoral cutaneous nerve,D,"A grossly obese 65-year-old male presents to the office with tingling and painful itching in the anterolateral region of the thigh. The patient loses weight, and the symptoms disappear. This paresthesia is most consistent with compression of the"
MMLU,professional_medicine,mmlu::professional_medicine::17,"A 12-year-old girl is brought to the physician because of a 2-month history of intermittent yellowing of the eyes and skin. Physical examination shows no abnormalities except for jaundice. Her serum total bilirubin concentration is 3 mg/dL, with a direct component of 1 mg/dL. Serum studies show a haptoglobin concentration and AST and ALT activities that are within the reference ranges. There is no evidence of injury or exposure to toxins. Which of the following additional findings is most likely in this patient?",Decreased activity of UDP glucuronosyltransferase,Gallstones,Increased hemolysis,Increased serum alkaline phosphatase activity,A,"A 12-year-old girl is brought to the physician because of a 2-month history of intermittent yellowing of the eyes and skin. Physical examination shows no abnormalities except for jaundice. Her serum total bilirubin concentration is 3 mg/dL, with a direct component of 1 mg/dL. Serum studies show a haptoglobin concentration and AST and ALT activities that are within the reference ranges. There is no evidence of injury or exposure to toxins. Which of the following additional findings is most likely in this patient?"
MMLU,professional_medicine,mmlu::professional_medicine::18,"A 63-year-old man is brought to the emergency department because of a 4-day history of increasingly severe left leg pain and swelling of his left calf. He also has a 1-month history of increasingly severe upper midthoracic back pain. During this time, he has had a 9-kg (20-lb) weight loss despite no change in appetite. He has no history of major medical illness. His only medication is ibuprofen. He is 180 cm (5 ft 11 in) tall and weighs 82 kg (180 lb); BMI is 25 kg/m2 . His vital signs are within normal limits. On examination, lower extremity pulses are palpable bilaterally. The remainder of the physical examination shows no abnormalities. An x-ray of the thoracic spine shows no abnormalities. A CT scan of the abdomen shows a 3-cm mass in the body of the pancreas; there are liver metastases and encasement of the superior mesenteric artery. Ultrasonography of the left lower extremity shows a femoropopliteal venous clot. Which of the following is the most likely cause of this patient’s symptoms?",Carcinoid syndrome,Hypercoagulability from advanced malignancy,Multiple endocrine neoplasia,Splenic artery aneurysm and embolic disease of the left lower extremity,B,"A 63-year-old man is brought to the emergency department because of a 4-day history of increasingly severe left leg pain and swelling of his left calf. He also has a 1-month history of increasingly severe upper midthoracic back pain. During this time, he has had a 9-kg (20-lb) weight loss despite no change in appetite. He has no history of major medical illness. His only medication is ibuprofen. He is 180 cm (5 ft 11 in) tall and weighs 82 kg (180 lb); BMI is 25 kg/m2 . His vital signs are within normal limits. On examination, lower extremity pulses are palpable bilaterally. The remainder of the physical examination shows no abnormalities. An x-ray of the thoracic spine shows no abnormalities. A CT scan of the abdomen shows a 3-cm mass in the body of the pancreas; there are liver metastases and encasement of the superior mesenteric artery. Ultrasonography of the left lower extremity shows a femoropopliteal venous clot. Which of the following is the most likely cause of this patient’s symptoms?"
MMLU,professional_medicine,mmlu::professional_medicine::19,A 63-year-old woman with hypertension has her son call your office to make an appointment for evaluation of vaginal bleeding. Her general physician recently retired. The son tells you that his mother has been deaf since infancy and that he uses sign language to communicate with her. Which of the following is the most appropriate course of action to ensure good communication?,Have the patient bring her son to the appointment to interpret,Arrange for a certified interpreter,Provide the patient with writing materials during the appointment,"Talk with the patient face-to-face, enunciating carefully so that she may lip read",B,A 63-year-old woman with hypertension has her son call your office to make an appointment for evaluation of vaginal bleeding. Her general physician recently retired. The son tells you that his mother has been deaf since infancy and that he uses sign language to communicate with her. Which of the following is the most appropriate course of action to ensure good communication?
MMLU,professional_medicine,mmlu::professional_medicine::20,"A 4-year-old boy with cystic fibrosis is brought to the emergency department 20 minutes after being found unconscious in his yard by his parents. He had been playing outside all afternoon; the outside temperature was 95°F. He had been feeling well lately with no recent acute exacerbations of cystic fibrosis. On arrival, he responds to pain but speech is incoherent. His temperature is 41.2°C (106.2°F), pulse is 148/min, respirations are 36/min and shallow, and blood pressure is 88/46 mm Hg. His skin is hot and dry. The lungs are clear to auscultation. Muscle tone is poor; deep tendon reflexes are diminished throughout. Neurologic examination shows no focal abnormalities. Which of the following is the most likely underlying mechanism for these findings?",Adrenal insufficiency with salt wasting,Impaired sweat gland function with reduced ability to regulate heat loss,Invasion of the central nervous system by gram-negative organisms,Mucous plugging of the airway resulting in secondary infection with Pseudomonas species,B,"A 4-year-old boy with cystic fibrosis is brought to the emergency department 20 minutes after being found unconscious in his yard by his parents. He had been playing outside all afternoon; the outside temperature was 95°F. He had been feeling well lately with no recent acute exacerbations of cystic fibrosis. On arrival, he responds to pain but speech is incoherent. His temperature is 41.2°C (106.2°F), pulse is 148/min, respirations are 36/min and shallow, and blood pressure is 88/46 mm Hg. His skin is hot and dry. The lungs are clear to auscultation. Muscle tone is poor; deep tendon reflexes are diminished throughout. Neurologic examination shows no focal abnormalities. Which of the following is the most likely underlying mechanism for these findings?"
MMLU,professional_medicine,mmlu::professional_medicine::21,"A 37-year-old woman, gravida 5, para 4, at 34 weeks' gestation comes to the emergency department because of vaginal bleeding for 2 hours. She has had no prenatal care. Her second child was delivered by lower segment transverse cesarean section because of a nonreassuring fetal heart rate; her other three children were delivered vaginally. Her pulse is 92/min, respirations are 18/min, and blood pressure is 134/76 mm Hg. The abdomen is nontender, and no contractions are felt. There is blood on the vulva, the introitus, and on the medial aspect of each thigh. The fetus is in a transverse lie presentation. The fetal heart rate is 144/min. Which of the following is the most likely diagnosis?",Abruptio placentae,Amniotic fluid embolism,Latent phase of labor,Placenta previa,D,"A 37-year-old woman, gravida 5, para 4, at 34 weeks' gestation comes to the emergency department because of vaginal bleeding for 2 hours. She has had no prenatal care. Her second child was delivered by lower segment transverse cesarean section because of a nonreassuring fetal heart rate; her other three children were delivered vaginally. Her pulse is 92/min, respirations are 18/min, and blood pressure is 134/76 mm Hg. The abdomen is nontender, and no contractions are felt. There is blood on the vulva, the introitus, and on the medial aspect of each thigh. The fetus is in a transverse lie presentation. The fetal heart rate is 144/min. Which of the following is the most likely diagnosis?"
MMLU,professional_medicine,mmlu::professional_medicine::22,"A previously healthy 32-year-old man is brought to the emergency department after being found unconscious on the floor at his workplace. On arrival, he is obtunded. He is intubated and mechanical ventilation is begun. Examination shows flaccid paralysis on the right. A CT scan of the head shows a large evolving cerebral infarction on the left. Carotid duplex ultrasonography shows dissection of the left carotid artery. After receiving intensive medical care for 6 hours, the patient develops decerebrate posturing and becomes hemodynamically unstable. Vasopressor therapy is begun. A second CT scan of the head shows a massive left hemispheric cerebral infarction with severe edema and herniation. The physician determines that surgical intervention is not indicated because of the patient's poor prognosis. The patient's driver's license indicates that he wishes to be an organ donor. The physician meets with the patient's family and informs them about the patient's prognosis, and they are devastated. During the meeting, they say that they were unaware of his willingness to be an organ donor and agree that he should not receive cardiopulmonary resuscitation. Which of the following is the most appropriate next step with respect to organ donation?",Arrange for the regional organ procurement organization to address the issue with the patient's family,Delay further consideration of the issue until after 24 hours of aggressive care,Delay further consideration of the issue until the family seems ready,Initiate organ donation at this time,A,"A previously healthy 32-year-old man is brought to the emergency department after being found unconscious on the floor at his workplace. On arrival, he is obtunded. He is intubated and mechanical ventilation is begun. Examination shows flaccid paralysis on the right. A CT scan of the head shows a large evolving cerebral infarction on the left. Carotid duplex ultrasonography shows dissection of the left carotid artery. After receiving intensive medical care for 6 hours, the patient develops decerebrate posturing and becomes hemodynamically unstable. Vasopressor therapy is begun. A second CT scan of the head shows a massive left hemispheric cerebral infarction with severe edema and herniation. The physician determines that surgical intervention is not indicated because of the patient's poor prognosis. The patient's driver's license indicates that he wishes to be an organ donor. The physician meets with the patient's family and informs them about the patient's prognosis, and they are devastated. During the meeting, they say that they were unaware of his willingness to be an organ donor and agree that he should not receive cardiopulmonary resuscitation. Which of the following is the most appropriate next step with respect to organ donation?"
MMLU,professional_medicine,mmlu::professional_medicine::23,"A 52-year-old woman begins pharmacotherapy after being diagnosed with type 2 diabetes mellitus. Four weeks later, her hepatic glucose output is decreased, and target tissue glucose uptake and utilization are increased. Which of the following drugs was most likely prescribed for this patient?",Acarbose,Glyburide,Metformin,Nateglinide,C,"A 52-year-old woman begins pharmacotherapy after being diagnosed with type 2 diabetes mellitus. Four weeks later, her hepatic glucose output is decreased, and target tissue glucose uptake and utilization are increased. Which of the following drugs was most likely prescribed for this patient?"
MMLU,professional_medicine,mmlu::professional_medicine::24,"A 64-year-old male presents to the emergency room with a bloody nose that has been dripping out his nares for the past 2 hours. He denies any trauma, recent upper respiratory illness, or history of prior bloody nose. Past medical history is unremarkable, and he takes no medications. He has a blood pressure of 180/90 mmHg. Examination of the nasal passages reveals that the site of the bleeding is on the septal mucosa of the right naris. The most likely site of origin of this patient's epistaxis is",anterior turbinate,ethmoid sinus,Kiesselbach plexus,posterior nasal pharynx,C,"A 64-year-old male presents to the emergency room with a bloody nose that has been dripping out his nares for the past 2 hours. He denies any trauma, recent upper respiratory illness, or history of prior bloody nose. Past medical history is unremarkable, and he takes no medications. He has a blood pressure of 180/90 mmHg. Examination of the nasal passages reveals that the site of the bleeding is on the septal mucosa of the right naris. The most likely site of origin of this patient's epistaxis is"
MMLU,professional_medicine,mmlu::professional_medicine::25,"A 25-year-old female is admitted to the hospital for the evaluation of fainting spells, which have been occurring several times a day for 10 days. These occur without warning and are not associated with any injury. The patient is evaluated during one of these falls, manifesting no change in heart rate, blood pressure, or color. Neurologic examination findings are normal. The most likely diagnosis is",basilar migraine,cardioinhibitory syncope,malingering,vasodepressor syncope,C,"A 25-year-old female is admitted to the hospital for the evaluation of fainting spells, which have been occurring several times a day for 10 days. These occur without warning and are not associated with any injury. The patient is evaluated during one of these falls, manifesting no change in heart rate, blood pressure, or color. Neurologic examination findings are normal. The most likely diagnosis is"
MMLU,professional_medicine,mmlu::professional_medicine::26,"A 31-year-old woman comes to the office for initial prenatal care. She is 12 weeks pregnant by date of her last menstrual period. This is her fourth pregnancy; she has three healthy children. Her last pregnancy resulted in cesarean delivery because of fetal distress during labor. Her history includes heavy use of alcohol and cigarettes, and multiple sexual partners. In addition to routine prenatal laboratory work-up, the patient consents to an HIV antibody test, which is later reported as positive. At a follow-up visit this patient should be counseled regarding which of the following?",Amniocentesis is recommended to rule out congenital HIV infection,Breast-feeding will increase the risk for transmitting HIV to the infant,Immediate termination of pregnancy will decrease her risk for progression to AIDS,Repeat cesarean delivery may increase the risk for vertical transmission of HIV,B,"A 31-year-old woman comes to the office for initial prenatal care. She is 12 weeks pregnant by date of her last menstrual period. This is her fourth pregnancy; she has three healthy children. Her last pregnancy resulted in cesarean delivery because of fetal distress during labor. Her history includes heavy use of alcohol and cigarettes, and multiple sexual partners. In addition to routine prenatal laboratory work-up, the patient consents to an HIV antibody test, which is later reported as positive. At a follow-up visit this patient should be counseled regarding which of the following?"
MMLU,professional_medicine,mmlu::professional_medicine::27,A 60-year-old man has had painful skin with exfoliation of the skin and mucous membranes for 1 day. He has been taking allopurinol and probenecid for 2 weeks because of gouty arthritis. There is diffuse exfoliation of the skin with oozing of serous fluid. The mucous membranes of the mouth are erythematous and exfoliated. There are no target lesions. Which of the following is the most likely diagnosis?,Erythema multiforme,Pemphigus erythematosus,Staphylococcal scalded-skin syndrome,Toxic epidermal necrolysis,D,A 60-year-old man has had painful skin with exfoliation of the skin and mucous membranes for 1 day. He has been taking allopurinol and probenecid for 2 weeks because of gouty arthritis. There is diffuse exfoliation of the skin with oozing of serous fluid. The mucous membranes of the mouth are erythematous and exfoliated. There are no target lesions. Which of the following is the most likely diagnosis?
